city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,longitude,latitude
Gdańsk,Śródmieście,1299000,74.0,3,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-74m2-mzn2045608834,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbW9yZWFsLzEvbW9yZWFsX21zX0VDMzAxNTc4XzEuanBnI3Y9MV8zODAwMTMxODg2/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-74-m.jpg,1910,wtórny,C.O. miejskie,4,1,1,0,0,0,0,0,0,0,18.66268,54.34378
Gdańsk,Chmielna,1398600,74.0,4,7.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-chmielna-74m2-mzn2045899844,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbW9yZWFsL2MvbW9yZWFsX21zX0VDODMyNTg2XzEuanBnI3Y9MV8zODEwODQ0MjAx/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-chmielna-74-m.jpg,2013,wtórny,-1,8,0,0,0,0,0,0,0,0,0,18.6545,54.34314
Gdańsk,Marynarki Polskiej,569000,57.0,2,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-nowy-port-marynarki-polskiej-57m2-mzn2046213614,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbmFkbW8xLzEvbmFkbW8xX21zXzYyMjM4NV8xLmpwZyN2PTJfMzc5MzM4MTMxMA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-nowy-port-57-m.jpg,-1,wtórny,-1,3,1,1,1,0,1,0,0,0,0,18.6682,54.3987
Gdańsk,Artura Grottgera,1999000,72.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-artura-grottgera-72m2-mzn2045845496,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbzY3MzE4LzkvbzY3MzE4X21zX0hFWDQyMTI3MF8xLmpwZyN2PTFfMzgxMTE4MjExOA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-72-m.jpg,2024,wtórny,C.O. miejskie,3,0,0,0,1,1,0,1,0,0,18.5658514,54.3990269
Gdańsk,Tadeusza Jasińskiego,478926,45.0,2,,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-tadeusza-jasinskiego-45m2-mzn2043123084,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzExMDM4X3dpenVhbGl6YWNqYTcuanBnI3Y9MTc1MjgxNjQ1Nw==/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-optima-gdansk-45-m.jpg,2025,pierwotny,-1,-1,0,0,0,0,0,0,0,0,0,18.54309797,54.33558132
Gdańsk,Aleja Rzeczypospolitej,444000,38.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-aleja-rzeczypospolitej-38m2-mzn2046260922,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwODA5L2UvZ21nNDYwODA5X21zX0hBMDE1NzE2XzEuanBnI3Y9MV8zODExMjg5MDM1/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przymorze-38-m.jpg,1972,wtórny,C.O. miejskie,10,1,1,0,1,1,0,0,0,0,18.592398,54.401522
Gdańsk,Jana Kochanowskiego,498000,33.0,2,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-kochanowskiego-jana-33m2-mzn2046237780,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwODA5LzcvZ21nNDYwODA5X21zX0hBMDE1NzAxXzEuanBnI3Y9MV8zODExMjg4OTQ0/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-33-m.jpg,1957,wtórny,C.O. gazowe,3,1,0,0,0,1,0,0,0,0,18.629629,54.386138
Gdańsk,Zaspa,779800,38.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-38m2-mzn2046254890,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYxMjk1LzcvZ21nNDYxMjk1X21zX0NQMTQ2ODY5N18xLmpwZyN2PTFfMzgxMTE1NjkzNw==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-zaspa-38-m.jpg,2026,pierwotny,C.O. miejskie,5,1,0,0,1,1,0,1,0,0,18.6015312,54.3964301
Gdańsk,Głęboka,401940,27.0,1,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-gleboka-27m2-mzn2046244242,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYml1cm8yMDE5L2EvYml1cm8yMDE5X21zXzE4MzYxJTI1MkY1NTcxJTI1MkZPTVNfMS5qcGcjdj0xXzM4MTEwMDc2OTc=/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-27-m.jpg,2025,wtórny,C.O. miejskie,4,0,1,0,1,0,0,1,0,0,18.67658616,54.35312496
Gdańsk,Aleja Jana Pawła II,1329000,74.0,4,9.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-jana-pawla-ii-74m2-mzn2046169727,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYml1cm8yMDE5LzUvYml1cm8yMDE5X21zXzE4MzI3JTI1MkY1NTcxJTI1MkZPTVNfMS5qcGcjdj0xXzM4MTEwMDc2NjE=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-zaspa-74-m.jpg,2000,wtórny,C.O. miejskie,11,0,1,0,1,0,0,1,0,0,18.6113005,54.4036466
