city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,latitude,longitude
Gdańsk,Letnicka,1198000,63.0,3,7.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-letnicka-63m2-mzn2044827907,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC8wL21oZ2RfbXNfTUc1NDUyOTFfMS5qcGcjdj0xXzM4MDg3NTAzNzM=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-letnica-63-m.jpg,2024,wtórny,Co Miejskie,7,1,0,0,1,1,0,1,0,0,54.3997555,18.6459908
Gdańsk,Pastelowa,599000,51.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-pastelowa-51m2-mzn2045941642,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9iL21oZ2RfbXNfTUcxODU4NTBfMS5qcGcjdj0xXzM3Nzk2MzkwMDY=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-51-m.jpg,2025,pierwotny,-1,4,0,0,0,1,1,0,1,1,1,54.3091174,18.6066054
Gdańsk,Starowiejska,725000,40.0,2,6.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-starowiejska-40m2-mzn2045958036,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC8wL21oZ2RfbXNfTUcyNTUzNDBfMS5qcGcjdj0xXzM3NTIxMjYzMTg=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-letnica-40-m.jpg,2019,wtórny,Co Miejskie,17,1,0,0,1,1,0,1,0,0,54.389097,18.6494769
Gdańsk,Sucha,949000,43.0,2,10.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-sucha-43m2-mzn2045886001,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9mL21oZ2RfbXNfTUcxMTA3NDZfMS5qcGcjdj0xXzM3NDM2Mjg4MTU=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-letnica-43-m.jpg,2021,wtórny,Co Miejskie,16,1,0,0,1,1,0,1,0,0,54.39641,18.64428
Gdańsk,Piwna,1135000,44.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-piwna-44m2-mzn2045051549,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9hL21oZ2RfbXNfTUcxNTY3MjlfMS5qcGcjdj0xXzM3OTU3NjA1NjI=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-44-m.jpg,1950,wtórny,Co Miejskie,4,1,0,0,1,0,0,0,0,0,54.35035,18.65078
Gdańsk,Czarny Dwór,1199000,45.0,2,5.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-czarny-dwor-45m2-mzn2045871561,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC81L21oZ2RfbXNfTUc0MzI5NzhfMS5qcGcjdj0xXzM3NDU4MDY1MjI=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przymorze-45-m.jpg,2024,wtórny,Gazowe,13,1,0,0,1,1,1,1,1,0,54.4084198,18.6082938
Gdańsk,Pastelowa,476000,34.0,2,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-pastelowa-34m2-mzn2045941643,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9iL21oZ2RfbXNfTUc1ODY4MTRfMS5qcGcjdj0xXzM3Nzk2Mzg5OTI=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-34-m.jpg,-1,pierwotny,-1,2,0,0,0,1,1,0,1,1,1,54.3096626,18.6039766
Gdańsk,Gdańsk,549000,36.0,2,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-pomorskie-gdansk-36m2-mzn2043305690,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9kL21oZ2RfbXNfTUc1MTUwMDVfMS5qcGcjdj0xXzM3ODA4MDMyMzU=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-36-m.jpg,2026,wtórny,Elektryczne,1,1,0,0,1,1,0,0,0,1,54.3344374,18.9320048
Gdańsk,Aleja Generała Józefa Hallera,940076,60.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-aleja-gen-jozefa-hallera-60m2-mzn2045108360,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC9hL21oZ2RfbXNfTUc2MjgyOTJfMS5qcGcjdj0xXzM3ODUyMTY5NDQ=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-60-m.jpg,2025,pierwotny,-1,10,1,0,0,1,1,0,1,1,0,54.38906,18.62346
Gdańsk,Profesora Jerzego Stankiewicza,970000,68.0,3,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-prof-jerzego-stankiewicza-68m2-mzn2044730827,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC83L21oZ2RfbXNfTUc3MTU2OTlfMS5qcGcjdj0xXzM4MDg3MTYzMjg=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-jasien-68-m.jpg,2024,wtórny,Co Miejskie,4,1,0,0,1,1,0,1,0,0,54.33551,18.55448
Gdańsk,Powstańców Wielkopolskich,1399000,75.0,4,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-powstancow-wielkopolskich-75m2-mzn2046236815,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm5wcnp5MTIvOC9ibnByenkxMl9tc18yNjIyJTI1MkYxNjg2MSUyNTJGT01TXzEuanBnI3Y9MV8zODA4NTk4MDA3/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-zaspa-75-m.jpg,2016,wtórny,C.O. Z SIECI MIEJSKIEJ,5,1,1,0,1,1,0,1,0,0,54.3987758,18.615946
Gdańsk,Artura Grottgera,2099000,72.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-artura-grottgera-72m2-mzn2045845496,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbzY3MzE4LzkvbzY3MzE4X21zX0hFWDQyMTI3MF8xLmpwZyN2PTFfMzc5ODY4MTYzMg==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-72-m.jpg,2024,wtórny,Co Miejskie,3,0,0,0,1,1,0,1,0,0,54.3990269,18.5658514
Gdańsk,Starowiejska,1208340,82.0,4,9.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-starowiejska-82m2-mzn2045674269,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbWhnZC81L21oZ2RfbXNfTUcxMzk1NTZfMS5qcGcjdj0xXzM3NzE1NTUyMzk=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-letnica-82-m.jpg,2025,pierwotny,Co Miejskie,18,1,0,0,1,1,0,1,1,0,54.38905,18.64946
