street,price_pln,size_m2,rooms,floor,detail_url,year_built,coords
Matemblewska,669000,167 m²,5 pokoi,piętro 2/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-matemblewska-167m2-mzn2045195691,2005,"54.36743,18.55013"
Angielska Grobla,669000,43 m²,2 pokoje,piętro 1/6,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-angielska-grobla-43m2-mzn2045675143,2021,"54.35042338,18.66205204"
Pohulanka,869000,65 m²,3 pokoje,piętro 5/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-pohulanka-65m2-mzn2045182938,-1,"54.34742509,18.63718279"
Św. Barbary,869000,69 m²,3 pokoje,parter/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-sw-barbary-69m2-mzn2045479195,2020,"54.34866574,18.66304378"
Obrońców Wybrzeża,699000,65 m²,3 pokoje,piętro 11/17,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-obroncow-wybrzeza-65m2-mzn2045743213,-1,"54.40867074,18.59756722"
ul. Powstańców Warszawskich,699000,30 m²,1 pokój,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-aniolki-powstancow-warszawskich-30m2-mzn2045450802,2025,"54.35470559,18.63076115"
Kazimierza Leskiego,1340000,47 m²,3 pokoje,piętro 2/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-kazimierza-leskiego-47m2-mzn2045786720,2016,"54.3219746,18.5572208"
Zakole,1340000,61 m²,3 pokoje,piętro 1/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-stogi-skiby-61m2-mzn2044292832,2025,"54.3622,18.7087"
Starowiejska,870000,33 m²,2 pokoje,piętro 2/17,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-starowiejska-33m2-mzn2045852878,2024,"54.3963257,18.64613"
Poznańska,870000,38 m²,3 pokoje,piętro 1/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-poznanska-38m2-mzn2045865045,1958,"54.41367839,18.57979255"
ul. Nadmorski Dwór,880000,59 m²,2 pokoje,parter/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-nadmorski-dwor-59m2-mzn2045552955,2023,"54.40710224,18.62071896"
Toruńska,1340042,67 m²,3 pokoje,piętro 5/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-torunska-67m2-mzn2045870582,-1,"54.3433393,18.6514797"
Magellana,1340042,50 m²,3 pokoje,piętro 6/12,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-magellana-50m2-mzn2045871775,-1,"54.3656093,18.5817057"
ul. Opacka,980000,66 m²,2 pokoje,parter/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-opacka-66m2-mzn2045107643,2023,"54.41205002,18.55809689"
ul. Nadmorski Dwór,980000,73 m²,3 pokoje,piętro 3/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-nadmorski-dwor-73m2-mzn2045680215,2023,"54.40710224,18.62071896"
ul. Opacka,787077,93 m²,3 pokoje,piętro 2/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-opacka-93m2-mzn2045107637,2023,"54.41205002,18.55809689"
Przytulna,787077,73 m²,4 pokoje,piętro 2/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-osinskiego-73m2-mzn2045441083,2026,"54.34867784,18.53625297"
Podmiejska,529000,43 m²,2 pokoje,parter/2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-sw-wojciech-lipce-podmiejska-43m2-mzn2045854023,-1,"54.3302057,18.63189808"
Antoniego Słonimskiego,529000,42 m²,2 pokoje,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-antoniego-slonimskiego-42m2-mzn2045869571,-1,"54.38405704,18.59068359"
Taneczna,940000,39 m²,2 pokoje,piętro 2/5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-osinskiego-39m2-mzn2044875719,2026,"54.34867784,18.53625297"
Franciszka Rakoczego,940000,85 m²,4 pokoje,piętro 9/17,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-franciszka-rakoczego-85m2-mzn2044478789,2026,"54.35856939,18.58099222"
Ujeścisko-Łostowice,472371,40 m²,2 pokoje,piętro 3/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-kazimierza-porebskiego-40m2-mzn2045239168,2003,"54.32041079,18.57761302"
Franciszka Rakoczego,472371,28 m²,1 pokój,piętro 6/17,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-piecki-migowo-franciszka-rakoczego-28m2-mzn2044467535,2026,"54.35856939,18.58099222"
ul. Gdańska,1159224,84 m²,3 pokoje,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-gdanska-84m2-mzn2044715417,2024,"54.40148577,18.63361835"
ul. Gdańska,1159224,62 m²,3 pokoje,piętro 4/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-gdanska-62m2-mzn2045755489,2024,"54.40148577,18.63361835"
ul. Kazimierza Wielkiego,490000,39 m²,2 pokoje,piętro 1/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-sw-wojciech-lipce-kazimierza-wielkiego-39m2-mzn2044561176,2025,"54.3251637,18.6335954"
ul. Kazimierza Wielkiego,490000,57 m²,2 pokoje,piętro 3/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-sw-wojciech-lipce-kazimierza-wielkiego-57m2-mzn2044561122,2025,"54.3251637,18.6335954"
ul. Warszawska,530251,44 m²,2 pokoje,piętro 1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-warszawska-44m2-mzn2045457111,2026,"54.33255114,18.57902241"
ul. Warszawska,530251,36 m²,2 pokoje,parter,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-warszawska-36m2-mzn2045457085,2026,"54.33255114,18.57902241"
ul. Kempingowa 117,534500,35 m²,2 pokoje,piętro 1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-kempingowa-117-35m2-mzn2045208360,2023,"54.3357268,18.9176186"
ul. Turystyczna 90,534500,36 m²,2 pokoje,piętro 1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-turystyczna-90-36m2-mzn2045525779,2024,"54.34070409,18.86372924"
ul. Turystyczna 90,815500,43 m²,2 pokoje,piętro 1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-turystyczna-90-43m2-mzn2045251471,2024,"54.34070409,18.86372924"
