city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,coords
Gdańsk,Wincentego Witosa,415000,48 m²,2 pokoje,piętro 3/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wincentego-witosa-48m2-mzn2045667053,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS83L3pnbG9zemVuaWFfbXNfZ3JhdGthLTQxODEwNjYxXzEuanBnI3Y9MV8zNzQ1MTk3NjI5/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-48-m.jpg,1991,"54.3389371,18.61435952"
Gdańsk,Magellana,415000,50 m²,3 pokoje,piętro 6/12,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-magellana-50m2-mzn2045871775,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbmFkbW8xL2IvbmFkbW8xX21zXzEyNDM1Ml80LmpwZyN2PTFfMzc0MjIwNjU1Mw==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-50-m.jpg,2021,"54.3656,18.5817"
Gdańsk,Konstantego Ciołkowskiego,423000,48 m²,2 pokoje,piętro 5/9,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-konstantego-ciolkowskiego-48m2-mzn2045915404,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwODQ3LzMvZ21nNDYwODQ3X21zXzEzNzM5NV8xLmpwZyN2PTFfMzc0NTk0MTQ0MA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-zaspa-48-m.jpg,1975,"54.3911859,18.6143089"
Gdańsk,Elizy Orzeszkowej,423000,42 m²,2 pokoje,parter/2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-aniolki-elizy-orzeszkowej-42m2-mzn2045898015,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwODQ3L2MvZ21nNDYwODQ3X21zXzc5OTM5MV8xLmpwZyN2PTFfMzc0NDU1NTgwNg==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-aniolki-42-m.jpg,2025,"54.3642159,18.6340994"
Gdańsk,Czarnowskiego,550000,85 m²,4 pokoje,piętro 1/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-anastazego-wika-czarnowskiego-85m2-mzn2045885399,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwODQ3LzYvZ21nNDYwODQ3X21zXzkyODE4Ml8xLmpwZyN2PTFfMzc0NTgxMjUzMA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-zaspa-85-m.jpg,2005,"54.4072189,18.6112242"
Gdańsk,Władysława Broniewskiego,550000,44 m²,2 pokoje,piętro 2/4,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-wladyslawa-broniewskiego-44m2-mzn2045895311,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZ21nNDYwODQ3LzEvZ21nNDYwODQ3X21zXzk0OTExNl8xLmpwZyN2PTFfMzc0NDI1NjQ5NA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-brzezno-44-m.jpg,1980,"54.4047831,18.6393694"
Gdańsk,Artura Grottgera,565000,128 m²,5 pokoi,piętro 2/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-artura-grottgera-128m2-mzn2045944060,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm5ob21lYnJvMS80L2JuaG9tZWJybzFfbXNfNjI3OTczLTFfMi5qcGcjdj0xXzM3NDg4MDMyNjE=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-128-m.jpg,2024,"54.3991,18.5662"
Gdańsk,al. Gen. Józefa Hallera,565000,48 m²,2 pokoje,piętro 1/10,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-gen-jozefa-hallera-48m2-mzn2045943818,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm5ob21lYnJvMS9jL2JuaG9tZWJybzFfbXNfMTc2MjcxLTFfOS5qcGcjdj0yXzM3NDg3OTg0Mjg=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-48-m.jpg,2025,"54.3892,18.6228"
Gdańsk,Artura Grottgera,589000,50 m²,2 pokoje,parter/3,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-artura-grottgera-50m2-mzn2044562742,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvYm5ob21lYnJvMS9jL2JuaG9tZWJybzFfbXNfNjI3OTczXzE1LmpwZyN2PTJfMzc0NjU4MDI2Nw==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-50-m.jpg,2024,"54.39907,18.56619"
Gdańsk,Wypoczynkowa,589000,40 m²,2 pokoje,parter/2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zabianka-wejhera-jelitkowo-tysiaclecia-wypoczynkowa-40m2-mzn2045431834,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEveW91cnBvaW50Mi9hL3lvdXJwb2ludDJfbXNfV0g3MjI4MjNfMS5qcGcjdj0xXzM3NDU4MzIxMjg=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-zabianka-wejhera-jelitkowo-tysiaclecia-40-m.jpg,2012,"54.4198892,18.6055747"
